                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.206,                 5.0513,                 4.1401,                0.00018,                0.02825,                 0.0001,                  4e-05,                 4.3569,                 5.1537,                  4.264,              0.0033048,              0.0033048,              0.0033048
                      2,                 2.8478,                  2.956,                  2.617,                0.36972,                0.11541,                0.07239,                 0.0288,                 2.3146,                 2.2843,                 2.1268,              0.0065944,              0.0065944,              0.0065944
                      3,                 2.1037,                 2.0237,                 1.8283,                0.38373,                0.17688,                0.14674,                0.06408,                  1.998,                 2.4708,                 1.8073,              0.0098399,              0.0098399,              0.0098399
                      4,                 1.7598,                 1.5214,                 1.5549,                0.46426,                0.24717,                 0.2258,                0.12083,                 1.5995,                 1.3756,                 1.5245,               0.009802,               0.009802,               0.009802
                      5,                 1.5529,                 1.2467,                 1.4077,                0.59676,                 0.3395,                  0.354,                0.19349,                 1.4042,                 1.2162,                 1.3812,               0.009802,               0.009802,               0.009802
                      6,                 1.4168,                 1.0949,                 1.3186,                0.44805,                 0.3877,                0.41119,                0.23427,                  1.278,                 1.0695,                 1.2797,               0.009736,               0.009736,               0.009736
                      7,                 1.3414,                 1.0092,                  1.274,                 0.6519,                0.44042,                0.49011,                0.27303,                 1.2404,                0.96651,                 1.2627,                0.00967,                0.00967,                0.00967
                      8,                 1.2794,                0.93878,                 1.2345,                0.66904,                0.48311,                0.55083,                 0.3206,                 1.1787,                0.84036,                  1.207,               0.009604,               0.009604,               0.009604
                      9,                 1.2338,                 0.8864,                 1.2063,                0.62072,                0.53207,                0.57844,                0.33596,                 1.1708,                0.82626,                 1.2132,               0.009538,               0.009538,               0.009538
                     10,                 1.1986,                0.85161,                 1.1861,                0.68657,                0.55878,                0.62574,                0.37463,                 1.1066,                0.75315,                  1.163,               0.009472,               0.009472,               0.009472
                     11,                 1.1669,                0.81618,                 1.1681,                0.69454,                0.57695,                0.64894,                0.39322,                 1.0739,                0.72563,                 1.1498,               0.009406,               0.009406,               0.009406
                     12,                 1.1402,                 0.7845,                 1.1536,                0.67039,                0.60738,                0.65662,                0.40593,                 1.0306,                0.70075,                 1.1304,                0.00934,                0.00934,                0.00934
                     13,                 1.1189,                0.76602,                 1.1414,                 0.7448,                0.61492,                0.69624,                0.43835,                 1.0093,                0.67288,                  1.116,               0.009274,               0.009274,               0.009274
                     14,                 1.0949,                0.74061,                 1.1269,                0.75505,                0.62691,                0.70541,                0.45009,                0.99599,                0.65528,                 1.1071,               0.009208,               0.009208,               0.009208
                     15,                   1.08,                0.72774,                 1.1193,                0.75588,                0.64175,                0.72465,                0.46712,                 0.9811,                0.64729,                 1.1021,               0.009142,               0.009142,               0.009142
                     16,                 1.0612,                0.70731,                 1.1103,                0.74241,                0.64809,                0.72339,                0.46187,                0.97775,                0.63515,                 1.0966,               0.009076,               0.009076,               0.009076
                     20,                 1.0107,                0.65814,                 1.0851,                0.80499,                0.68515,                0.77172,                0.50889,                0.91577,                0.58379,                 1.0617,               0.008812,               0.008812,               0.008812
                     21,                 1.0011,                0.65371,                 1.0795,                0.78471,                0.71951,                0.78983,                0.53457,                0.89418,                0.57046,                 1.0512,               0.008746,               0.008746,               0.008746
                     22,                0.99101,                0.64026,                 1.0742,                0.82818,                0.71357,                0.79578,                0.54032,                0.88383,                0.55482,                 1.0445,                0.00868,                0.00868,                0.00868
                     23,                0.97645,                0.62827,                 1.0654,                0.81394,                0.73294,                0.80854,                0.54773,                0.87793,                0.55591,                 1.0401,               0.008614,               0.008614,               0.008614
                     24,                0.97422,                0.62778,                 1.0654,                0.77568,                0.73644,                0.80474,                0.54281,                0.87838,                0.54342,                 1.0406,               0.008548,               0.008548,               0.008548
                     25,                0.96383,                0.61875,                 1.0615,                0.82038,                0.73405,                0.81227,                0.55189,                0.86609,                0.54035,                  1.033,               0.008482,               0.008482,               0.008482
                     26,                0.95076,                0.60378,                 1.0538,                 0.8346,                0.74475,                0.82259,                 0.5626,                0.85535,                0.52816,                 1.0303,               0.008416,               0.008416,               0.008416
                     27,                0.94718,                0.60224,                   1.05,                0.83794,                0.75403,                 0.8298,                0.57702,                0.83332,                0.51173,                 1.0208,                0.00835,                0.00835,                0.00835
                     28,                0.93586,                0.59437,                 1.0473,                 0.8257,                0.75851,                0.83427,                 0.5756,                0.83464,                0.51225,                 1.0177,               0.008284,               0.008284,               0.008284
                     29,                0.92524,                0.58317,                 1.0421,                0.86433,                0.77006,                0.84823,                0.59158,                0.82552,                0.50583,                 1.0126,               0.008218,               0.008218,               0.008218
                     30,                0.91786,                0.57897,                 1.0393,                0.82349,                 0.7496,                 0.8294,                0.58398,                0.81452,                0.50295,                 1.0108,               0.008152,               0.008152,               0.008152
                     31,                0.91595,                0.57835,                 1.0376,                0.85668,                0.77177,                0.84555,                0.59517,                0.80738,                0.48981,                 1.0086,               0.008086,               0.008086,               0.008086
                     32,                 0.9115,                0.57135,                 1.0344,                0.84682,                0.77024,                0.84941,                0.59716,                0.79757,                0.48909,                  1.002,                0.00802,                0.00802,                0.00802
                     33,                0.90656,                0.56851,                 1.0318,                0.86075,                0.78017,                0.85509,                0.60655,                0.79618,                 0.4847,                 1.0014,               0.007954,               0.007954,               0.007954
                     34,                0.89347,                0.56028,                 1.0236,                0.85192,                0.79394,                 0.8593,                 0.6133,                0.78553,                0.47629,                0.99441,               0.007888,               0.007888,               0.007888
                     35,                0.89609,                  0.557,                 1.0244,                0.87394,                0.78252,                0.86694,                0.62036,                0.77788,                0.47271,                0.99115,               0.007822,               0.007822,               0.007822
                     36,                0.88086,                0.55234,                 1.0189,                0.83602,                0.80069,                0.86566,                0.62342,                0.76684,                0.46765,                0.98519,               0.007756,               0.007756,               0.007756
                     37,                0.88119,                0.54838,                 1.0187,                0.86331,                0.78508,                0.86448,                 0.6258,                0.76212,                0.45855,                0.98523,                0.00769,                0.00769,                0.00769
