                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6448,                 4.3706,                   3.95,                0.00024,                0.02659,                0.00022,                  8e-05,                 4.1376,                  4.971,                 4.2654,              0.0033048,              0.0033048,              0.0033048
                      2,                 2.3283,                 2.4828,                 2.3921,                0.44207,                0.13865,                0.09728,                0.04332,                 1.8053,                 1.9312,                 1.9918,              0.0065944,              0.0065944,              0.0065944
                      3,                 1.7384,                 1.8704,                 1.7957,                0.62364,                0.18639,                0.16735,                0.07929,                 1.4727,                 1.9809,                 1.6921,              0.0098399,              0.0098399,              0.0098399
                      4,                 1.4145,                 1.4539,                 1.5586,                0.46781,                0.28515,                 0.2669,                0.13537,                 1.3097,                 1.3654,                 1.5719,               0.009802,               0.009802,               0.009802
                      5,                    1.2,                 1.1924,                 1.4098,                0.55565,                0.29749,                0.32118,                 0.1736,                 1.1201,                  1.143,                 1.4035,               0.009802,               0.009802,               0.009802
                      6,                 1.0646,                 1.0353,                 1.3221,                0.65305,                0.38121,                0.41765,                0.23572,                0.93548,                0.98618,                 1.2957,               0.009736,               0.009736,               0.009736
                      7,                0.98614,                0.95361,                 1.2742,                0.63058,                0.38861,                0.44425,                0.25637,                0.89597,                0.88971,                 1.2632,                0.00967,                0.00967,                0.00967
                      8,                 0.9275,                 0.8813,                 1.2358,                0.72858,                0.47633,                0.56354,                 0.3321,                0.81555,                0.78083,                 1.2182,               0.009604,               0.009604,               0.009604
                      9,                0.87723,                0.83064,                 1.2067,                0.63459,                0.51211,                0.55916,                0.33061,                0.79685,                 0.7527,                 1.2026,               0.009538,               0.009538,               0.009538
                     10,                0.84711,                0.79277,                 1.1876,                0.73184,                0.53042,                0.61411,                0.36612,                0.79139,                0.72281,                 1.1797,               0.009472,               0.009472,               0.009472
                     11,                0.81282,                0.75926,                 1.1697,                0.69512,                0.60248,                0.66589,                0.40889,                0.70681,                0.66103,                 1.1496,               0.009406,               0.009406,               0.009406
                     12,                0.78672,                0.72636,                 1.1553,                0.70643,                0.59441,                0.66185,                0.40547,                0.69769,                0.66415,                 1.1444,                0.00934,                0.00934,                0.00934
                     13,                 0.7675,                0.70773,                 1.1441,                0.72376,                0.61506,                0.68376,                0.43123,                0.67717,                0.63516,                 1.1276,               0.009274,               0.009274,               0.009274
                     14,                 0.7461,                0.68358,                 1.1298,                0.74653,                0.65029,                0.72069,                0.45983,                0.64341,                0.60258,                 1.1098,               0.009208,               0.009208,               0.009208
                     15,                0.72828,                0.66681,                 1.1217,                 0.7665,                   0.64,                0.71987,                0.46158,                0.63626,                 0.5938,                 1.1058,               0.009142,               0.009142,               0.009142
                     16,                0.71114,                0.64563,                 1.1126,                0.74135,                0.65053,                0.72492,                0.46973,                0.61877,                0.56777,                 1.0965,               0.009076,               0.009076,               0.009076
                     17,                0.69624,                0.63542,                 1.1079,                0.78169,                0.66736,                0.75143,                0.48684,                0.61036,                0.55265,                 1.0873,                0.00901,                0.00901,                0.00901
                     18,                0.68124,                0.62042,                 1.1018,                0.75705,                0.69858,                0.75775,                0.49137,                 0.6001,                0.54198,                 1.0799,               0.008944,               0.008944,               0.008944
                     19,                0.67466,                0.61093,                 1.0965,                0.81046,                0.69761,                0.78335,                0.52221,                0.57628,                0.52857,                 1.0695,               0.008878,               0.008878,               0.008878
                     20,                0.65952,                0.59589,                 1.0856,                0.80185,                0.69557,                 0.7806,                0.51847,                0.57193,                0.52573,                  1.066,               0.008812,               0.008812,               0.008812
                     21,                0.65248,                0.59256,                 1.0825,                0.80015,                0.69744,                0.77789,                0.52472,                0.55989,                 0.5088,                 1.0597,               0.008746,               0.008746,               0.008746
                     22,                0.64196,                0.57894,                 1.0754,                0.80598,                0.72718,                0.80301,                0.54137,                0.54208,                0.48926,                 1.0484,                0.00868,                0.00868,                0.00868
                     23,                0.62718,                0.56632,                 1.0665,                0.82073,                0.70782,                0.80141,                0.53987,                0.53768,                0.49585,                 1.0514,               0.008614,               0.008614,               0.008614
                     24,                0.62689,                0.56358,                 1.0692,                0.79367,                 0.7297,                0.81197,                0.55454,                0.52681,                0.47623,                 1.0414,               0.008548,               0.008548,               0.008548
                     25,                0.61408,                0.55148,                  1.064,                0.79092,                  0.731,                0.80407,                0.54534,                0.52527,                0.47499,                 1.0386,               0.008482,               0.008482,               0.008482
                     26,                0.60267,                0.54055,                 1.0558,                0.84822,                0.74501,                0.83247,                0.56516,                0.51111,                0.45914,                 1.0308,               0.008416,               0.008416,               0.008416
                     27,                0.60079,                0.53717,                 1.0517,                0.84167,                0.74112,                  0.826,                0.57019,                 0.5073,                0.45559,                 1.0276,                0.00835,                0.00835,                0.00835
                     28,                 0.5864,                0.52865,                  1.048,                 0.8567,                0.73122,                0.83256,                0.57535,                0.49536,                0.44881,                 1.0244,               0.008284,               0.008284,               0.008284
                     29,                0.57932,                0.51766,                 1.0448,                0.84654,                 0.7551,                  0.841,                0.58749,                0.48358,                0.43715,                 1.0181,               0.008218,               0.008218,               0.008218
                     30,                0.57314,                0.50941,                 1.0404,                0.86089,                0.75982,                0.84262,                0.59453,                0.47612,                0.42776,                 1.0157,               0.008152,               0.008152,               0.008152
                     31,                0.56957,                0.51308,                 1.0384,                0.86396,                0.77844,                0.85224,                0.59702,                0.47067,                0.42498,                  1.012,               0.008086,               0.008086,               0.008086
                     32,                 0.5636,                0.50509,                 1.0351,                0.84214,                0.77151,                0.84644,                0.59958,                0.46482,                0.42603,                 1.0105,                0.00802,                0.00802,                0.00802
                     33,                0.56057,                0.49756,                 1.0343,                0.85812,                 0.7816,                0.85673,                0.60472,                0.45485,                0.41314,                 1.0057,               0.007954,               0.007954,               0.007954
